,ticker,eps,roce,divYield,eps_rank,roce_rank,overall_rank
333,TRGP,0.07155876,0.104830446,0.022727613,324,437,761
334,MTD,0.026096984,0.484308199,0.0,739,23,762
335,DEO,0.048326536,0.165387225,0.022791385,485,277,762
336,TPL,0.0246581,0.685228829,0.013660392,759,6,765
337,ZBRA,0.034586752,0.258995574,0.0,641,124,765
338,PFSI,0.158151085,0.049898788,0.018166652,104,664,768
339,PNR,0.064875112,0.110560137,0.01869763,354,417,771
340,PAGP,0.481900752,0.032984473,0.06712633,9,762,771
341,ADBE,0.029628873,0.32032358,0.0,697,75,772
342,BCH,0.158099717,0.049682287,0.06055378,105,667,772
343,FIX,0.059478538,0.119894776,0.004855317,391,384,775
344,CMI,0.059904123,0.118338807,0.023811262,384,392,776
345,IHG,0.035512911,0.23502994,0.022065355,627,151,778
346,DRI,0.049943968,0.144723691,0.029999951,465,313,778
347,ACN,0.033655725,0.265068547,0.013848098,657,122,779
348,KOF,0.068529062,0.103201294,0.041270812,335,444,779
349,QSR,0.074646073,0.092001939,0.048907785,301,479,780
350,AEL,0.285224769,0.033580254,0.017338592,26,759,785
351,IT,0.029972321,0.297149267,0.0,694,92,786
352,CL,0.026810839,0.368873383,0.025398952,734,52,786
353,SNY,0.059171188,0.116458439,0.036700225,392,396,788
354,LH,0.065385604,0.103878992,0.009978321,351,441,792
355,JWN,0.083077827,0.080799305,0.040352087,262,531,793
356,SBUX,0.033389227,0.245280614,0.023028351,661,138,799
357,ROST,0.036847014,0.203505812,0.010510253,606,196,802
358,IDXX,0.019905971,0.594829652,0.0,792,13,805
359,WST,0.033460803,0.236942346,0.003089656,660,147,807
360,EW,0.032953263,0.240505633,0.0,666,141,807
361,TSLA,0.032636206,0.245483471,0.0,670,137,807
362,NLY,0.198971286,0.038039739,0.175205789,69,741,810
363,BWA,0.099589877,0.061216492,0.016985138,210,601,811
364,THO,0.060178371,0.107641151,0.015430685,383,430,813
365,DGX,0.052129714,0.126528442,0.016807149,448,366,814
